start_time,end_time,predicted_class,predicted_class_str
2025-06-30 17:01:09.247050,2025-06-30 17:01:19.246950,3,sleep
2025-06-30 17:01:14.247000,2025-06-30 17:01:24.246900,3,sleep
2025-06-30 17:01:19.246950,2025-06-30 17:01:29.246850,3,sleep
2025-06-30 17:01:24.246900,2025-06-30 17:01:34.246800,3,sleep
2025-06-30 17:01:29.246850,2025-06-30 17:01:39.246750,3,sleep
2025-06-30 17:01:34.246800,2025-06-30 17:01:44.246700,3,sleep
2025-06-30 17:01:39.246750,2025-06-30 17:01:49.246650,3,sleep
2025-06-30 17:01:44.246700,2025-06-30 17:01:54.246600,3,sleep
2025-06-30 17:01:49.246650,2025-06-30 17:01:59.246550,3,sleep
2025-06-30 17:01:54.246600,2025-06-30 17:02:04.246500,3,sleep
2025-06-30 17:01:59.246550,2025-06-30 17:02:09.246450,3,sleep
2025-06-30 17:02:04.246500,2025-06-30 17:02:14.246400,3,sleep
2025-06-30 17:02:09.246450,2025-06-30 17:02:19.246350,3,sleep
2025-06-30 17:02:14.246400,2025-06-30 17:02:24.246300,3,sleep
2025-06-30 17:02:19.246350,2025-06-30 17:02:29.246250,3,sleep
2025-06-30 17:02:24.246300,2025-06-30 17:02:34.246200,3,sleep
2025-06-30 17:02:29.246250,2025-06-30 17:02:39.246150,3,sleep
2025-06-30 17:02:34.246200,2025-06-30 17:02:44.246100,3,sleep
2025-06-30 17:02:39.246150,2025-06-30 17:02:49.246050,3,sleep
2025-06-30 17:02:44.246100,2025-06-30 17:02:54.246000,3,sleep
